23.80, 1664266626752
23.80, 1664266628820
23.80, 1664266631236
23.80, 1664266632932
23.80, 1664266635316
23.80, 1664266637080
23.80, 1664266639421
23.80, 1664266641160
23.80, 1664266643004
23.80, 1664266645209
23.80, 1664266647203
23.80, 1664266648975
23.80, 1664266651295
23.80, 1664266653031
23.70, 1664266655182
23.80, 1664266657478
23.80, 1664266659045
23.80, 1664266661378
23.70, 1664266663367
23.70, 1664266665617
23.70, 1664266667459
23.70, 1664266669458
23.70, 1664266671658
23.70, 1664266673600
23.70, 1664266675544
23.70, 1664266677692
23.70, 1664266679435
23.70, 1664266682197
23.70, 1664266684147
23.70, 1664266685913
23.70, 1664266688030
23.70, 1664266689913
23.70, 1664266691717
23.70, 1664266693690
23.60, 1664266695761
23.60, 1664266697753
23.60, 1664266699727
23.60, 1664266702701
23.60, 1664266704112
23.60, 1664266705935
23.60, 1664266708086
23.60, 1664266709825
23.60, 1664266715027
23.60, 1664266715512
23.50, 1664266717601
23.50, 1664266719445
23.50, 1664266721742
23.50, 1664266724048
23.40, 1664266725481
23.40, 1664266727635
23.40, 1664266729572
23.40, 1664266732477
23.40, 1664266733712
23.30, 1664266736085
23.30, 1664266738241
23.30, 1664266740178
23.30, 1664266742466
23.20, 1664266744104
23.20, 1664266746106
23.20, 1664266751987
23.20, 1664266752494
23.10, 1664266755871
23.10, 1664266769220
23.10, 1664266769449
23.00, 1664266771732
23.00, 1664266773548
22.90, 1664266775737
22.70, 1664266777667
22.80, 1664266779835
22.80, 1664266782129
23.40, 1664266783654
22.90, 1664266785909
23.00, 1664266788288
22.70, 1664266790383
23.00, 1664266792319
23.00, 1664266793938
23.00, 1664266795985
23.10, 1664266797929
23.00, 1664266800283
23.30, 1664266802437
23.10, 1664266804273
23.00, 1664266806221
22.90, 1664266808265
23.20, 1664266810310
23.70, 1664266812258
24.30, 1664266814302
25.10, 1664266816246
26.00, 1664266818459
26.20, 1664266820445
27.50, 1664266822391
28.30, 1664266824436
29.10, 1664266826482
29.10, 1664266828537
29.60, 1664266830586
29.80, 1664266832622
30.10, 1664266834988
30.20, 1664266836712
30.50, 1664266841525
30.70, 1664266841731
30.80, 1664266843879
30.60, 1664266846026
31.30, 1664266847969
30.30, 1664266850326
30.80, 1664266851958
30.80, 1664266854008
31.00, 1664266856467
30.80, 1664266858238
30.60, 1664266860076
30.70, 1664266862616
30.50, 1664266864379
30.60, 1664266866387
